episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
188,73.6,250,250,28,43,0,0.8767,0,False,108.42,0.868,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
189,90.5,250,250,23,45,0,0.876,0,False,109.52,1.1,,2.0%,16/16,45/48,dqn-no-obstacle,DQN
190,50.1,250,250,23,37,0,0.8754,0,False,110.667,1.146,,2.0%,8/16,37/48,dqn-no-obstacle,DQN
191,59.5,250,250,22,39,0,0.8748,0,False,111.404,0.736,,2.0%,6/16,39/48,dqn-no-obstacle,DQN
192,93.3,250,250,20,46,0,0.8742,0,False,112.197,0.792,,2.0%,8/16,46/48,dqn-no-obstacle,DQN
193,80.5,250,250,22,44,0,0.8736,0,False,112.931,0.734,,2.0%,10/16,44/48,dqn-no-obstacle,DQN
194,87.9,250,250,20,45,0,0.873,0,False,113.595,0.663,,2.0%,16/16,45/48,dqn-no-obstacle,DQN
195,94.3,250,250,19,46,0,0.8724,0,False,114.38,0.784,,2.0%,8/16,46/48,dqn-no-obstacle,DQN
196,81.9,250,250,22,44,0,0.8718,0,False,115.196,0.816,,2.0%,12/16,44/48,dqn-no-obstacle,DQN
197,91.0,250,250,23,46,0,0.8711,0,False,116.083,0.887,,2.0%,10/16,46/48,dqn-no-obstacle,DQN
198,52.9,250,250,21,38,0,0.8705,0,False,116.845,0.761,,2.0%,2/16,38/48,dqn-no-obstacle,DQN
199,78.4,250,250,21,43,0,0.8699,0,False,117.514,0.669,,0.0%,6/16,43/48,dqn-no-obstacle,DQN
200,38.7,250,250,21,36,0,0.8693,0,False,118.147,0.632,,0.0%,6/16,36/48,dqn-no-obstacle,DQN
201,81.1,250,250,20,44,0,0.8687,0,False,118.777,0.63,,0.0%,2/16,44/48,dqn-no-obstacle,DQN
202,81.9,250,250,21,42,0,0.8681,0,False,119.376,0.598,,0.0%,16/16,42/48,dqn-no-obstacle,DQN
203,78.3,250,250,26,43,0,0.8675,0,False,120.204,0.827,,0.0%,4/16,43/48,dqn-no-obstacle,DQN
204,69.4,250,250,21,40,0,0.8669,0,False,120.867,0.662,,0.0%,8/16,40/48,dqn-no-obstacle,DQN
205,94.7,250,250,21,46,0,0.8663,0,False,121.506,0.638,,0.0%,12/16,46/48,dqn-no-obstacle,DQN
206,87.2,250,250,23,45,0,0.8657,0,False,122.213,0.707,,0.0%,4/16,45/48,dqn-no-obstacle,DQN
207,77.8,250,250,22,44,0,0.8651,0,False,122.781,0.568,,0.0%,6/16,44/48,dqn-no-obstacle,DQN
208,67.5,250,250,24,42,0,0.8645,0,False,123.331,0.549,,0.0%,4/16,42/48,dqn-no-obstacle,DQN
209,86.8,250,250,24,45,0,0.8639,0,False,123.887,0.555,,0.0%,8/16,45/48,dqn-no-obstacle,DQN
210,73.5,250,250,24,43,0,0.8632,0,False,124.685,0.797,,0.0%,14/16,43/48,dqn-no-obstacle,DQN
211,99.9,250,250,19,47,0,0.8626,0,False,125.279,0.593,,0.0%,16/16,47/48,dqn-no-obstacle,DQN
212,100.0,250,250,22,47,0,0.862,0,False,125.864,0.584,,0.0%,16/16,47/48,dqn-no-obstacle,DQN
213,72.9,250,250,23,42,0,0.8614,0,False,126.619,0.755,,0.0%,10/16,42/48,dqn-no-obstacle,DQN
214,86.4,250,250,23,44,0,0.8608,0,False,127.277,0.658,,0.0%,14/16,44/48,dqn-no-obstacle,DQN
215,91.9,250,250,20,45,0,0.8602,0,False,127.887,0.609,,0.0%,12/16,45/48,dqn-no-obstacle,DQN
216,91.3,250,250,25,46,0,0.8596,0,False,128.47,0.583,,0.0%,16/16,46/48,dqn-no-obstacle,DQN
217,70.1,250,250,24,42,0,0.859,0,False,129.173,0.702,,0.0%,12/16,42/48,dqn-no-obstacle,DQN
